Variable,Type,Values,Comments
study_id,string,,
age,int,,
sex,string,"`male`, `female`",
study_group,string,"`cd`, `uc`, `ibdu`, `non_ibd`, `await_dx`, `hc`","cd: Crohn's disease, uc: Ulcerative colitis, ibdu: Inflammatory bowel disease unclassified, hc: healthy controls, non-ibd: other medical diagnosis possible so not entirely healthy, await_dx: awaiting diagnostic confirmation"
height,int,,height in cm
weight,float,,weight in kg
bmi,float,,body mass index
study_center,string,"`edinburgh`, `glasgow`, `dundee`",
montreal_cd_location,string,"`L1`, `L2`, `L3`","L1: ileal only disease, L2: colonic only, L3: ileocolonic involvement"
montreal_cd_behaviour,string,"`B1`, `B2`, `B3`","L1: non-stricturing, non-penetrating, L2: stricturing disease, L3: penetrating disease"
montreal_perianal,bool,1 or 0,Perianal disease modifier (+p)
montreal_upper_gi,bool,1 or 0,Upper GI disease modifier (+/- L4)
montreal_uc_severity,string,"`S1`, `S2`, `S3`","S1: mild activity, S2: moderate activity, S3: severe activity (search Montreal UC for full definitions)"
montreal_uc_extent,string,"`E1`, `E2`, `E3`","E1: proctitis only, E2: left-sided disease, E3: extensive"
new_diagnosis_of_ibd,string,"`yes`, `no`",This field previously known as incident_case in mini-music and bl_new_diagnosis in gi-damps
